product_id,product_name,product_name_eng,product description_eng,product_description_thai,price,unit,image_thumb,Brand,product_type
1235000,ปูนข้างงานโครงสร้าง,Structural Cement,"High-strength cement used for structural applications such as beams, columns, and foundations, ensuring durability and stability. It provides excellent bonding and load-bearing capacity, making it ideal for long-lasting constructions.",บรรจุ ถุงละ 50 กก. ปูนซีเมนต์กำลังสูง ใช้สำหรับงานโครงสร้าง เช่น คาน เสา และฐานราก ให้ความแข็งแรงและทนทานสูง ยึดเกาะดีเยี่ยมและรับน้ำหนักได้ดี เหมาะกับงานก่อสร้างที่ต้องการความมั่นคงยาวนาน.,145,บาท,/images/cement-1.png,,ปูนถุง
1135000,ปูนเสือ ซีเมนต์ ซูเปอร์ ก่อ ฉาบ เท,Tiger Cement Super,"A versatile cement suitable for various applications, including bricklaying, wall plastering, and general pouring work. It ensures strong adhesion, smooth finishing, and enhanced durability, making it a reliable choice for construction projects.",บรรจุ ถุงละ 40 กก.ปูนซีเมนต์อเนกประสงค์ ใช้สำหรับงานก่ออิฐ ฉาบผนัง และงานเททั่วไป ให้การยึดเกาะที่ดีเยี่ยม ผิวเรียบเนียน และเพิ่มความทนทาน ทำให้เหมาะกับงานก่อสร้างทุกประเภท.,130,บาท,/images/cement-2.png,,ปูนถุง
6902403,เสือ ซีเมนต์ ปูนซีเมนต์ผสม ฉาบสูตรพิเศษ,Tiger Cement Mixed Cement,"A specially formulated cement designed for high-quality plastering work, providing a smooth and crack-resistant surface. Its fine texture allows for easy application, reducing labor time while ensuring a long-lasting, professional finish.",บรรจุ ถุงละ 40 กก. ปูนซีเมนต์สูตรพิเศษสำหรับงานฉาบ ให้ผิวเรียบเนียนและป้องกันรอยแตกร้าว เนื้อปูนละเอียดใช้งานง่าย ลดระยะเวลาทำงาน พร้อมมอบผลงานคุณภาพสูงที่ทนทานยาวนาน.,160,บาท,/images/cement-3.png,,ปูนถุง
1328935,ปูนซีเมนต์สำเร็จรูป เสือ มอร์ตาร์ ฉาบทั่วไป,Tiger Mortar Ready-Mixed Cement (General Plastering),"A pre-mixed mortar designed for general plastering applications, offering convenience and consistent quality. It ensures strong adhesion, smooth application, and a durable finish, reducing the need for additional mixing.",บรรจุ ถุงละ 50 กก. ปูนสำเร็จรูปสำหรับงานฉาบทั่วไป ใช้งานสะดวกและให้คุณภาพที่สม่ำเสมอ ช่วยให้การยึดเกาะดี ฉาบง่าย และให้พื้นผิวที่เรียบเนียน แข็งแรง ลดขั้นตอนการผสมเพิ่มเติม.,70,บาท,/images/cement-4.png,,ปูนถุง
1000610,เหล็กเส้นกลมโรงใหญ่ 6 มม.x10เมตร. SR-24,Large Mill Round Steel Bars,"Large mill round steel bars, 6mm x 10m, SR-24. Used in general construction for reinforcing concrete structures and improving tensile strength. Suitable for residential and commercial building projects.",เหล็กเส้นกลมโรงใหญ่ ขนาด 6 มม. x 10 เมตร SR-24 ใช้ในงานก่อสร้างทั่วไปสำหรับเสริมคอนกรีตและเพิ่มความแข็งแรงต่อแรงดึง เหมาะสำหรับโครงการก่อสร้างที่พักอาศัยและอาคารพาณิชย์,70,บาท / เส้น,/images/metal-circle-1.png,TATA,เหล็กเส้น
1000910,เหล็กเส้นกลมโรงใหญ่ 9 มม.x10เมตร. SR-24,Large Mill Round Steel Bars,"Large mill round steel bars, 9mm x 10m, SR-24. Provides reinforcement for concrete structures, increasing their load-bearing capacity. Commonly used in slabs, beams, and foundations.",เหล็กเส้นกลมโรงใหญ่ ขนาด 9 มม. x 10 เมตร SR-24 ใช้เสริมแรงในโครงสร้างคอนกรีตเพื่อเพิ่มความสามารถในการรับน้ำหนัก นิยมใช้ในพื้นคอนกรีต คาน และฐานราก,151,บาท / เส้น,/images/metal-circle-2.png,TATA,เหล็กเส้น
1001210,เหล็กเส้นกลมโรงใหญ่ 12 มม.x10เมตร. SR-24,Large Mill Round Steel Bars,"Large mill round steel bars, 12mm x 10m, SR-24. High-quality reinforcement steel suitable for various construction applications, including roads, bridges, and multi-story buildings.",เหล็กเส้นกลมโรงใหญ่ ขนาด 12 มม. x 10 เมตร SR-24 เป็นเหล็กเสริมแรงคุณภาพสูง เหมาะสำหรับงานก่อสร้างต่างๆ เช่น ถนน สะพาน และอาคารสูง,266,บาท / เส้น,/images/metal-circle-3.png,TATA,เหล็กเส้น
1011210,เหล็กเส้นข้ออ้อย โรงใหญ่ 12 มม.x10เมตร. Sd-40,Large Mill Deformed Steel Bars,"Large mill deformed steel bars, 12mm x 10m, SD-40. Designed with ribbed surfaces to improve bonding with concrete. Commonly used in load-bearing structures and heavy construction projects.",เหล็กเส้นข้ออ้อยโรงใหญ่ ขนาด 12 มม. x 10 เมตร SD-40 มีพื้นผิวเป็นร่องช่วยเพิ่มการยึดเกาะกับคอนกรีต เหมาะสำหรับโครงสร้างรับน้ำหนักและงานก่อสร้างขนาดใหญ่,263,บาท / เส้น,/images/metal-circle-4.png,TXS,เหล็กเส้น
1011610,เหล็กเส้นข้ออ้อย โรงใหญ่ 16 มม.x10เมตร. Sd-40,Large Mill Deformed Steel Bars,"Large mill deformed steel bars, 16mm x 10m, SD-40. Provides superior tensile strength and durability for structural applications. Ideal for use in columns, beams, and reinforced concrete frames.",เหล็กเส้นข้ออ้อยโรงใหญ่ ขนาด 16 มม. x 10 เมตร SD-40 มีความแข็งแรงสูงและทนทาน เหมาะสำหรับใช้ในเสา คาน และโครงสร้างคอนกรีตเสริมเหล็ก,464,บาท / เส้น,/images/metal-circle-5.png,TXS,เหล็กเส้น
1012010,เหล็กเส้นข้ออ้อย โรงใหญ่ 20 มม.x10เมตร. Sd-40,Large Mill Deformed Steel Bars,"Large mill deformed steel bars, 20mm x 10m, SD-40. High-strength reinforcement steel suitable for heavy-duty construction, including bridges, tunnels, and high-rise buildings.",เหล็กเส้นข้ออ้อยโรงใหญ่ ขนาด 20 มม. x 10 เมตร SD-40 เป็นเหล็กเสริมแรงที่มีความแข็งแรงสูง เหมาะสำหรับงานก่อสร้างขนาดใหญ่ เช่น สะพาน อุโมงค์ และอาคารสูง,725,บาท / เส้น,/images/metal-circle-6.png,TXS,เหล็กเส้น
1012510,เหล็กเส้นข้ออ้อย โรงใหญ่ 25 มม.x10เมตร. Sd-40,Large Mill Deformed Steel Bars,"Large mill deformed steel bars, 25mm x 10m, SD-40. Offers excellent structural integrity and resistance to bending and shear forces. Used in critical infrastructure projects.",เหล็กเส้นข้ออ้อยโรงใหญ่ ขนาด 25 มม. x 10 เมตร SD-40 มีความแข็งแรงสูง ทนต่อแรงดัดและแรงเฉือน เหมาะสำหรับโครงการโครงสร้างพื้นฐานที่สำคัญ,1132,บาท / เส้น,/images/metal-circle-7.png,TXS,เหล็กเส้น
PBC2013,ท่อPB SDR13.5 20มม.(3/4),"PB Pipe SDR13.5 20mm (3/4"")","A polybutylene (PB) pressure pipe with SDR 13.5 rating, 20mm (3/4"") in diameter. Used for water supply and plumbing systems.","ท่อโพลีบิวทิลีน (PB) สำหรับงานแรงดันที่มีค่า SDR 13.5 ขนาด 20 มม. (3/4"") ใช้สำหรับระบบประปาและการจ่ายน้ำ",43,บาท,/images/01.webp,,ท่อPB
PBC2513,ท่อPB SDR13.5 25มม.(1),"PB Pipe SDR13.5 25mm (1"")","A polybutylene (PB) pipe with SDR 13.5 rating, 25mm (1"") in diameter. Designed for potable water distribution.","ท่อโพลีบิวทิลีน (PB) ที่มีค่า SDR 13.5 ขนาด 25 มม. (1"") ออกแบบสำหรับระบบจ่ายน้ำดื่ม",70,บาท,/images/02.jpg,,ท่อPB
PBC4013,ท่อPB SDR13.5 40มม.(1.5),"PB Pipe SDR13.5 40mm (1.5"")","A durable PB pressure pipe with SDR 13.5 rating, 40mm (1.5"") in diameter. Suitable for plumbing and irrigation.","ท่อ PB สำหรับงานแรงดันที่ทนทาน มีค่า SDR 13.5 ขนาด 40 มม. (1.5"") เหมาะสำหรับระบบประปาและชลประทาน",143,บาท,/images/03.webp,,ท่อPB
PBC5013,ท่อPB SDR13.5 50มม.(2),"PB Pipe SDR13.5 50mm (2"")","A polybutylene (PB) pipe with SDR 13.5 rating, 50mm (2"") in diameter. Used in water supply and piping networks.","ท่อโพลีบิวทิลีน (PB) ที่มีค่า SDR 13.5 ขนาด 50 มม. (2"") ใช้สำหรับระบบจ่ายน้ำและเครือข่ายท่อประปา",206,บาท,/images/04.webp,,ท่อPB
GABC020015,ANGLEบอลวาล์ว &เช็ควาล์ 15มม.,Angle Ball Valve & Check Valve 15mm,"A combination angle ball valve and check valve, 15mm in size. Controls water flow and prevents backflow in plumbing systems.",วาล์วบอลแบบมุมพร้อมเช็ควาล์ว ขนาด 15 มม. ควบคุมการไหลของน้ำและป้องกันการไหลย้อนกลับในระบบประปา,446,บาท,/images/05.jpg,,ท่อPB
GAAV015000,งอหน้ามาตรชนิดติดตั้งบอลวาล์วในตัว 15มม,Elbow Fitting with Built-in Ball Valve 15mm,A 15mm elbow fitting with an integrated ball valve. Used in plumbing installations to change pipe direction while controlling flow.,ข้องอขนาด 15 มม. พร้อมบอลวาล์วในตัว ใช้ในการติดตั้งระบบประปาเพื่อเปลี่ยนทิศทางของท่อและควบคุมการไหล,189,บาท,/images/06.jpg,,ท่อPB
GMW2015,ขาตั้งมาตรน้ำPB_20X1/2สวมล็อค,"PB Water Meter Stand 20mm x 1/2"" Lock Fit","A PB water meter stand for 20mm pipes with a 1/2"" connection. Features a secure lock fit for easy installation.","ขาตั้งมาตรวัดน้ำ PB สำหรับท่อขนาด 20 มม. พร้อมข้อต่อ 1/2"" ออกแบบให้ติดตั้งง่ายด้วยระบบสวมล็อค",76,บาท,/images/07.jpg,,ท่อPB
GMW2020,ขาตั้งมาตรน้ำPB_20X3/4สวมล็อค,"PB Water Meter Stand 20mm x 3/4"" Lock Fit","A PB water meter stand designed for 20mm pipes with a 3/4"" connection. Provides a stable base for water meters.","ขาตั้งมาตรวัดน้ำ PB สำหรับท่อขนาด 20 มม. พร้อมข้อต่อ 3/4"" ให้ฐานรองที่มั่นคงสำหรับติดตั้งมาตรวัดน้ำ",82,บาท,/images/08.jpg,,ท่อPB
GMW2525,"ขาตั้งมาตรน้ำPB_25X1""สวมล็อค","PB Water Meter Stand 25mm x 1"" Lock Fit","A PB water meter stand suitable for 25mm pipes with a 1"" connection. Ensures secure and efficient water meter mounting.","ขาตั้งมาตรวัดน้ำ PB สำหรับท่อขนาด 25 มม. พร้อมข้อต่อ 1"" ช่วยให้ติดตั้งมาตรวัดน้ำได้อย่างมั่นคงและมีประสิทธิภาพ",102,บาท,/images/09.jpg,,ท่อPB
GEL2020,ข้องอPB_3/4(20)สวมล็อค,"PB Elbow 3/4"" (20mm) Lock Fit","A 20mm (3/4"") polybutylene elbow fitting with lock fit. Used for changing the direction of PB piping.","ข้องอ PB ขนาด 20 มม. (3/4"") พร้อมระบบสวมล็อค ใช้สำหรับเปลี่ยนทิศทางของท่อ PB",74,บาท,/images/10.jpg,,ท่อPB
GEL2525,ข้องอPB_1(25)สวมล็อค,"PB Elbow 1"" (25mm) Lock Fit","A 25mm (1"") PB elbow fitting with lock fit. Ideal for water supply systems requiring 90-degree bends.","ข้องอ PB ขนาด 25 มม. (1"") พร้อมระบบสวมล็อค เหมาะสำหรับระบบจ่ายน้ำที่ต้องการการโค้งงอ 90 องศา",109,บาท,/images/11.jpg,,ท่อPB
GEL4040,ข้องอPB_1.5(40)สวมล็อค,"PB Elbow 1.5"" (40mm) Lock Fit","A 40mm (1.5"") PB elbow fitting with lock fit. Used to connect PB pipes at right angles.","ข้องอ PB ขนาด 40 มม. (1.5"") พร้อมระบบสวมล็อค ใช้สำหรับเชื่อมต่อท่อ PB ในมุมฉาก",219,บาท,/images/12.jpg,,ท่อPB
GEL5050,ข้องอPB_2(50)สวมล็อค,"PB Elbow 2"" (50mm) Lock Fit","A 50mm (2"") PB elbow fitting with lock fit. Provides a secure 90-degree bend in PB piping systems.","ข้องอ PB ขนาด 50 มม. (2"") พร้อมระบบสวมล็อค ให้การเชื่อมต่อแบบ 90 องศาในระบบท่อ PB",391,บาท,/images/13.jpg,,ท่อPB
GEM2020,ข้องอเกลียวนอกPB_20X3/4สวมล็อค,"PB Male Threaded Elbow 20mm x 3/4"" Lock Fit","A PB elbow fitting with a 20mm pipe connection and 3/4"" male threaded end. Used for pipe-to-threaded connections.","ข้องอ PB พร้อมข้อต่อท่อขนาด 20 มม. และเกลียวนอก 3/4"" ใช้สำหรับเชื่อมต่อท่อ PB กับข้อต่อเกลียว",88,บาท,/images/14.jpg,,ท่อPB
GEM2525,"ข้องอเกลียวนอกPB_25X1""สวมล็อค","PB Male Threaded Elbow 25mm x 1"" Lock Fit","A 25mm PB elbow with a 1"" male threaded connection. Facilitates smooth transitions between pipes and threaded fittings.","ข้องอ PB ขนาด 25 มม. พร้อมเกลียวนอก 1"" ช่วยให้การเปลี่ยนผ่านระหว่างท่อและข้อต่อเกลียวเป็นไปอย่างราบรื่น",107,บาท,/images/15.jpg,,ท่อPB
GEM4040,"ข้องอเกลียวนอกPB_40X1.5""สวมล็อค","PB Male Threaded Elbow 40mm x 1.5"" Lock Fit","A 40mm PB elbow with a 1.5"" male threaded end. Provides a reliable connection in plumbing networks.","ข้องอ PB ขนาด 40 มม. พร้อมเกลียวนอก 1.5"" ให้การเชื่อมต่อที่มั่นคงในระบบประปา",269,บาท,/images/16.jpg,,ท่อPB
GEM5050,ข้องอเกลียวนอกPB_50X2สวมล็อค,"PB Male Threaded Elbow 50mm x 2"" Lock Fit","A 50mm PB elbow with a 2"" male threaded end. Ensures strong pipe connections in pressurized water systems.","ข้องอ PB ขนาด 50 มม. พร้อมเกลียวนอก 2"" ให้การเชื่อมต่อท่อที่แข็งแรงในระบบน้ำแรงดัน",398,บาท,/images/17.jpg,,ท่อPB
GEF2020,ข้องอเกลียวในPB_20x3/4สวมล็อค,"PB Female Threaded Elbow 20mm x 3/4"" Lock Fit","A PB elbow fitting with a 20mm pipe connection and a 3/4"" female threaded end. Used in plumbing joints.","ข้องอ PB พร้อมข้อต่อท่อขนาด 20 มม. และเกลียวใน 3/4"" ใช้ในจุดเชื่อมต่อระบบประปา",88,บาท,/images/18.jpg,,ท่อPB
GEF2525,ข้องอเกลียวในPB_25x1สวมล็อค,"PB Female Threaded Elbow 25mm x 1"" Lock Fit","A 25mm PB elbow with a 1"" female threaded end. Connects PB pipes to threaded components securely.","ข้องอ PB ขนาด 25 มม. พร้อมเกลียวใน 1"" เชื่อมต่อท่อ PB กับอุปกรณ์เกลียวได้อย่างมั่นคง",117,บาท,/images/19.jpg,,ท่อPB
GEF4040,ข้องอเกลียวในPB_40x1.5สวมล็อค,"PB Female Threaded Elbow 40mm x 1.5"" Lock Fit","A 40mm PB elbow with a 1.5"" female threaded connection. Used in residential and industrial piping.","ข้องอ PB ขนาด 40 มม. พร้อมเกลียวใน 1.5"" ใช้ในระบบท่อทั้งที่พักอาศัยและอุตสาหกรรม",255,บาท,/images/20.jpg,,ท่อPB
GEF5050,ข้องอเกลียวในPB_50x2สวมล็อค,"PB Female Threaded Elbow 50mm x 2"" Lock Fit","A 50mm PB elbow with a 2"" female threaded end. Ensures stable connections in water distribution systems.","ข้องอ PB ขนาด 50 มม. พร้อมเกลียวใน 2"" ให้การเชื่อมต่อที่มั่นคงในระบบจ่ายน้ำ",391,บาท,/images/21.jpg,,ท่อPB
GCM2015,"ข้อต่อเกลียวนอกPB_20X1/2""สวมล็อค","PB Male Threaded Coupling 20mm x 1/2"" Lock Fit","A PB coupling with a 20mm pipe connection and 1/2"" male thread. Used to join PB pipes to threaded fittings.","ข้อต่อตรง PB พร้อมข้อต่อท่อขนาด 20 มม. และเกลียวนอก 1/2"" ใช้เชื่อมต่อท่อ PB กับข้อต่อเกลียว",76,บาท,/images/22.jpg,,ท่อPB
GCM2020,ข้อต่อเกลียวนอกPB_20X3/4สวมล็อค,"PB Male Threaded Coupling 20mm x 3/4"" Lock Fit","A 20mm PB coupling with a 3/4"" male threaded end. Provides a secure transition between pipes and threaded components.","ข้อต่อตรง PB ขนาด 20 มม. พร้อมเกลียวนอก 3/4"" ให้การเชื่อมต่อที่มั่นคงระหว่างท่อและอุปกรณ์เกลียว",85,บาท,/images/23.jpg,,ท่อPB
GCM2525,"ข้อต่อเกลียวนอกPB_25X1""สวมล็อค","PB Male Threaded Coupling 25mm x 1"" Lock Fit","A 25mm PB coupling with a 1"" male threaded end. Used in water supply connections requiring PB-to-threaded joints.","ข้อต่อตรง PB ขนาด 25 มม. พร้อมเกลียวนอก 1"" ใช้ในจุดเชื่อมต่อระบบประปาที่ต้องการ PB-เกลียว",110,บาท,/images/24.jpg,,ท่อPB
GCM4040,ข้อต่อเกลียวนอกPB_40X1.5สวมล็อค,"PB Male Threaded Coupling 40mm x 1.5"" Lock Fit","A 40mm PB coupling with a 1.5"" male threaded end. Provides durability in water supply systems.","ข้อต่อตรง PB ขนาด 40 มม. พร้อมเกลียวนอก 1.5"" ให้ความทนทานในระบบจ่ายน้ำ",232,บาท,/images/25.jpg,,ท่อPB
GCM5050,ข้อต่อเกลียวนอกPB_50X2สวมล็อค,"PB Male Threaded Coupling 50mm x 2"" Lock Fit","A 50mm PB coupling with a 2"" male threaded end. Used in larger-diameter PB piping networks.","ข้อต่อตรง PB ขนาด 50 มม. พร้อมเกลียวนอก 2"" ใช้ในเครือข่ายท่อ PB ขนาดใหญ่",376,บาท,/images/26.jpg,,ท่อPB
GFFC4040,"ข้อต่อเกลียวในPB_40X1.5""สวมล็อค","PB Female Threaded Coupling 40mm x 1.5"" Lock Fit","A PB coupling with a 40mm pipe connection and 1.5"" female thread. Used for secure PB-to-threaded connections.","ข้อต่อตรง PB พร้อมข้อต่อท่อขนาด 40 มม. และเกลียวใน 1.5"" ใช้สำหรับเชื่อมต่อ PB กับอุปกรณ์เกลียว",233,บาท,/images/27.jpg,,ท่อPB
GFFC5050,"ข้อต่อเกลียวในPB_50X2""สวมล็อค","PB Female Threaded Coupling 50mm x 2"" Lock Fit","A PB coupling with a 50mm pipe connection and 2"" female thread. Ensures strong connections in water distribution systems.","ข้อต่อตรง PB พร้อมข้อต่อท่อขนาด 50 มม. และเกลียวใน 2"" ให้การเชื่อมต่อที่แข็งแรงในระบบจ่ายน้ำ",368,บาท,/images/28.jpg,,ท่อPB
GCS2020,ข้อต่อตรงPB_3/4(20)สวมล็อค,"PB Straight Coupling 3/4"" (20mm) Lock Fit","A polybutylene (PB) straight coupling with a 20mm (3/4"") diameter. Used to connect two PB pipes in a straight line.","ข้อต่อตรง PB แบบสวมล็อค ขนาด 20 มม. (3/4"") ใช้สำหรับเชื่อมต่อท่อ PB สองท่อในแนวตรง",69,บาท,/images/29.jpg,,ท่อPB
GCS2525,ข้อต่อตรงPB_1(25)สวมล็อค,"PB Straight Coupling 1"" (25mm) Lock Fit","A 25mm (1"") PB straight coupling with lock fit. Ensures a secure and leak-proof connection between pipes.","ข้อต่อตรง PB ขนาด 25 มม. (1"") พร้อมระบบสวมล็อค ให้การเชื่อมต่อแน่นหนาและป้องกันการรั่วซึม",90,บาท,/images/30.jpg,,ท่อPB
18NCA0AB00,คอนกรีตกำลังอัด 180,Concrete Compressive Strength 180 kg/cm²,"Standard-grade concrete suitable for light-duty construction, such as walkways and non-load-bearing structures.",คอนกรีตเกรดมาตรฐาน เหมาะสำหรับงานก่อสร้างที่มีน้ำหนักเบา เช่น ทางเดิน และโครงสร้างที่ไม่รับน้ำหนัก,2580,บาท / คิว,/images/concrete-1.png,,คอนกรีต
21NCA0AB00,คอนกรีตกำลังอัด 210,Concrete Compressive Strength 210 kg/cm²,"Used for general-purpose construction, including residential floors and small foundations.",ใช้สำหรับงานก่อสร้างทั่วไป รวมถึงพื้นอาคารที่พักอาศัยและฐานรากขนาดเล็ก,2620,บาท / คิว,/images/concrete-1.png,,คอนกรีต
24NCA0AB00,คอนกรีตกำลังอัด 240,Concrete Compressive Strength 240 kg/cm²,"A mid-strength concrete mix ideal for reinforced concrete slabs, beams, and columns in low-rise buildings.",คอนกรีตกำลังปานกลาง เหมาะสำหรับแผ่นพื้น เสา และคานคอนกรีตเสริมเหล็กในอาคารเตี้ย,2660,บาท / คิว,/images/concrete-1.png,,คอนกรีต
28NCA0AB00,คอนกรีตกำลังอัด 280,Concrete Compressive Strength 280 kg/cm²,"Commonly used for medium-load structures, such as commercial buildings and roads.",ใช้ในโครงสร้างรับน้ำหนักปานกลาง เช่น อาคารพาณิชย์และถนน,2700,บาท / คิว,/images/concrete-1.png,,คอนกรีต
30NCA0AB00,คอนกรีตกำลังอัด 300,Concrete Compressive Strength 300 kg/cm²,"A high-strength mix suitable for heavy-duty applications, including bridges and high-rise buildings.",คอนกรีตกำลังสูง เหมาะสำหรับงานหนัก เช่น สะพานและอาคารสูง,2740,บาท / คิว,/images/concrete-1.png,,คอนกรีต
32NCA0AB00,คอนกรีตกำลังอัด 320,Concrete Compressive Strength 320 kg/cm²,Used in structural elements requiring enhanced durability and load-bearing capacity.,ใช้ในองค์ประกอบโครงสร้างที่ต้องการความทนทานและความสามารถในการรับน้ำหนักสูง,2780,บาท / คิว,/images/concrete-1.png,,คอนกรีต
35NCA0AB00,คอนกรีตกำลังอัด 350,Concrete Compressive Strength 350 kg/cm²,"High-performance concrete for infrastructure projects, such as highways, tunnels, and dams.",คอนกรีตสมรรถนะสูงสำหรับโครงการโครงสร้างพื้นฐาน เช่น ทางหลวง อุโมงค์ และเขื่อน,2830,บาท / คิว,/images/concrete-1.png,,คอนกรีต
38NCA0AB00,คอนกรีตกำลังอัด 380,Concrete Compressive Strength 380 kg/cm²,"Designed for specialized applications requiring superior strength, including industrial floors and precast elements.",ออกแบบมาสำหรับงานเฉพาะที่ต้องการความแข็งแรงสูง เช่น พื้นอุตสาหกรรม และชิ้นส่วนคอนกรีตสำเร็จรูป,2890,บาท / คิว,/images/concrete-1.png,,คอนกรีต
40NCA0AB00,คอนกรีตกำลังอัด 400,Concrete Compressive Strength 400 kg/cm²,"Ultra-high-strength concrete used in high-rise structures, heavy-duty bridges, and specialized engineering projects.",คอนกรีตกำลังสูงพิเศษ ใช้ในอาคารสูง สะพานรับน้ำหนักมาก และโครงการวิศวกรรมเฉพาะทาง,2960,บาท / คิว,/images/concrete-1.png,,คอนกรีต